日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2019-01-01,优,42,82,27,33,6,27,0.49,61
2019-01-02,良,87,199,64,72,12,41,0.83,53
2019-01-03,良,69,132,50,57,8,57,0.73,36
2019-01-04,优,33,42,18,21,5,58,0.57,25
2019-01-05,优,45,101,30,26,5,49,0.73,26
2019-01-06,优,40,78,26,27,5,43,0.56,40
2019-01-07,优,40,60,27,32,5,49,0.59,37
2019-01-08,良,74,196,53,57,7,39,0.78,59
2019-01-09,优,36,74,23,27,5,42,0.58,40
2019-01-10,优,26,38,16,18,5,46,0.53,28
2019-01-11,优,28,43,15,16,5,54,0.61,20
2019-01-12,良,56,113,39,42,7,51,1.14,13
2019-01-13,轻度污染,102,188,76,62,7,55,1.13,28
2019-01-14,良,98,169,73,78,6,66,0.92,45
2019-01-15,轻度污染,140,299,105,86,8,50,1.16,68
2019-01-16,良,52,114,29,57,7,41,0.59,45
2019-01-17,良,99,282,73,114,12,79,1.08,22
2019-01-18,轻度污染,110,246,83,103,10,74,0.99,41
2019-01-19,轻度污染,101,229,75,91,10,77,1.07,28
2019-01-20,轻度污染,132,301,96,76,11,50,0.97,44
2019-01-21,良,61,138,43,63,11,66,0.73,37
2019-01-22,轻度污染,110,283,82,102,14,84,1.05,29
2019-01-23,轻度污染,124,304,93,110,15,103,1.17,36
2019-01-24,轻度污染,132,270,99,106,13,93,1.15,43
2019-01-25,优,49,51,32,44,8,56,0.61,50
2019-01-26,优,35,13,14,34,5,22,0.43,62
2019-01-27,优,38,13,17,36,6,43,0.48,48
2019-01-28,良,71,159,51,53,8,63,0.82,28
2019-01-29,良,75,158,45,74,6,52,0.73,45
2019-01-30,优,49,70,24,52,6,60,0.58,29
2019-01-31,优,40,66,12,22,4,20,0.50,69
2019-02-01,良,80,218,57,69,5,29,0.82,59
2019-02-02,良,77,160,53,59,6,28,0.77,71
2019-02-03,良,89,203,65,60,8,34,1.27,36
2019-02-04,轻度污染,132,289,84,136,7,27,1.01,59
2019-02-05,良,61,66,18,70,5,22,0.45,69
2019-02-06,良,64,142,42,56,6,29,0.76,51
2019-02-07,优,46,127,25,35,5,14,0.57,70
2019-02-08,优,35,92,10,23,4,14,0.39,66
2019-02-09,优,36,84,10,18,4,12,0.43,70
2019-02-10,优,33,80,15,25,5,16,0.48,64
2019-02-11,优,41,103,25,29,6,23,0.61,63
2019-02-12,优,37,65,22,26,5,31,0.58,60
2019-02-13,优,45,136,21,34,4,21,0.59,83
2019-02-14,优,47,145,24,38,4,25,0.64,77
2019-02-15,优,30,54,14,16,4,32,0.52,59
2019-02-16,良,58,201,39,56,5,20,0.66,72
